market,airlineAA,airlineDL,airlineUA,airlineAL,airlineLCC,airlineWN,marketdistance,fromcenterdistance,mindistance,changeincmarket,percapitaincmarket,marketsize,wrightamendmDAL,dallasmarket,marketpresenceAA,marketpresenceDL,marketpresenceUA,marketpresenceAL,marketpresenceLCC,marketpresenceWN,mindistancefromhubAA,mindistancefromhubDL,mindistancefromhubUA,mindistancefromhubAL,mindistancefromhubLCC,mindistancefromhubWN
"ABEATL",0,1,0,0,0,0,.692,1.343002,.3353065,3.25,3.195271,1.816543,0,0,.18,.5590909,.2463636,.480303,.1066667,0,.8183199,0,.8183199,.0209896,0,.0069186
"ABEBNA",0,0,0,1,0,0,.685,1.141123,.3353065,3.2,3.085657,1.001007,0,0,.2037037,.4646465,.2058081,.4886364,0,.212963,.5498015,.0674165,.5498015,.0409346,.0382016,.0323355
"ABECVG",0,0,0,0,0,0,.503,1.226692,.3353065,2.45,3.070847,1.232561,0,0,.0384615,.6462704,.219697,.3636364,0,0,.8220864,0,.8220864,.0086629,.11394,.0927322
"ABEDAL",0,0,0,0,0,0,1.3,1.333661,.1141117,3,3.228897,2.002419,1,1,.0428571,.1876623,.1363636,.3636364,0,.4142857,.0124548,.0035599,.1154926,.0077752,.0123719,.0205587
"ABEDEN",0,0,1,1,0,0,1.539,1.598928,.3353065,4.1,3.491519,1.374757,0,0,.278169,.4337388,.4708707,.5044814,.0809859,0,0,.0180333,0,0,0,0
"ABEDFW",0,0,1,1,0,0,1.308,1.338382,.1141117,3,3.228897,2.002419,0,1,.3726115,.4839317,.2796757,.4559931,.0923567,0,0,0,.1114409,.007068,0,.0206444
"ABEFLL",0,1,0,1,0,0,1.041,1.902844,.2116254,3.25,3.115213,1.958312,0,0,.1929825,.5625997,.1626794,.5960925,.1140351,.1578947,.7631299,.2230449,.7631299,.0074104,.0012062,.0067367
"ABEIND",0,0,0,1,0,0,.577,1.158396,.3353065,2.75,3.138169,1.079609,0,0,.2391304,.3601779,.326581,.5755929,.0380435,.1793478,.4372279,.0389564,.4372279,0,.109487,.1001472
"ABELAX",0,0,0,1,0,0,2.388,2.402633,.1831448,3.45,3.121347,3.067234,0,0,.3137931,.4556426,.4053292,.5153605,.0448276,.1689655,.0017096,.0032041,.0017096,0,0,0
"ABEMCO",0,1,0,1,0,0,.906,1.729543,.3353065,2.85,2.871546,1.131137,0,0,.2413793,.5039185,.2846395,.5774295,.0896552,.1551724,.8297785,.2088463,.8297785,.0123457,.001412,.0035579
"ABEMIA",0,0,0,1,0,0,1.062,1.913854,.2116254,3.25,3.115213,1.958312,0,0,.3185841,.477675,.2469831,.571601,.0884956,0,.7427884,.2122249,.7427884,.0070858,.0010722,.006221
"ABEMSY",0,1,0,1,0,0,1.111,1.410574,.3353065,4.4,2.921081,.9916537,0,0,.2173913,.5112648,.2363636,.4853755,.0826087,.2043478,.3412666,.0044342,.3412666,.0174173,.0044342,.0064839
"ABEORD",0,0,1,1,0,0,.654,1.19685,.1550676,1.85,3.27182,2.626127,0,0,.3464052,.394385,.4468212,.4910874,.0163399,0,0,.1705905,0,0,.0078805,.0078805
"ABEPBI",0,0,0,1,0,0,.999,1.871119,.3353065,3,3.707777,.9319528,0,0,.0731707,.5920178,.1485588,.6258315,.054878,.1402439,.798986,.2382197,.798986,.0081715,.0081715,.0070565
"ABERSW",0,1,0,1,0,0,1.038,1.820543,.2649559,6.6,3.071761,.5866181,0,0,.186747,.5145126,.1484118,.6046003,.1084337,0,.7090128,.1630843,.7090128,.0103162,.0014326,.003715
"ABESFO",0,0,1,0,0,0,2.5,2.556754,.1120481,.9,3.900093,1.769522,0,0,.2857143,.4279985,.4640948,.5190986,.0546218,0,0,.0124217,0,0,0,0
"ABESTL",0,0,0,0,0,0,.805,.9398316,.3353065,1.95,3.090602,1.427802,0,0,.3376068,.2872961,.2517483,.4918415,.0042735,.2051282,.1304382,.0035569,.1304382,0,.0747923,.0633991
"ABETPA",0,1,0,1,0,0,.963,1.711362,.1023103,3.1,2.981101,1.353436,0,0,.2047244,.5252327,.2465999,.5841088,.0905512,.1574803,.729292,.1407632,.729292,.013127,.0007253,.0015268
"ABQALB",0,1,0,0,0,0,1.833,1.849822,.4249685,6.85,2.981675,.7831874,0,0,.4029196,.4939771,.2532666,.3145161,.056962,.4944875,.0012511,.0136418,.0012511,0,0,0
"ABQATL",1,1,0,1,1,0,1.269,1.35495,.4931559,6.9,3.08023,1.804507,0,0,.4458228,.6278481,.274557,.2748945,.1066667,.2848101,.0217566,0,.217406,.1270347,0,.109233
"ABQAUS",1,1,0,1,0,1,.619,1.521455,.4931559,6.3,3.009367,.9877639,0,0,.6491561,.5334036,.2534459,.4415612,.056962,.5292546,.2234901,.2234901,.8157034,.4261242,.2234901,.4640587
"ABQBDL",1,1,0,1,0,0,1.886,1.89415,.4931559,6.35,3.29774,.9256246,0,0,.4952345,.5337304,.3292629,.3052867,.056962,.449516,.0049767,.0054964,.0049767,0,0,0
"ABQBHM",0,0,0,1,0,1,1.138,1.264102,.4931559,7.15,2.877565,.8857085,0,0,.3617132,.6319577,.1714063,.2472689,.056962,.5519334,.0216563,.0216563,.2557093,.1453087,.0216563,.1506577
"ABQBNA",1,1,0,1,0,1,1.123,1.153071,.4931559,6.85,2.970616,.9943751,0,0,.4695265,.5334036,.2340014,.2501758,.056962,.4977731,.0657295,.0657295,.2102133,.2451823,.0657295,.0743321
"ABQBOI",0,0,1,1,0,1,.781,2.236126,.4931559,7.15,2.849315,.5991217,0,0,.2658228,.3840981,.5187236,.2154536,.1145833,.4827268,1.35187,1.35187,.2761979,.2873032,.2761979,.2873032
"ABQBOS",1,1,1,1,0,0,1.974,1.983707,.4886092,6.35,3.526532,1.809798,0,0,.5221254,.5345708,.3452292,.3431018,.0947772,.2848101,.0023242,.0064262,.0023242,0,0,0
"ABQBTR",0,1,0,0,0,0,.951,1.38243,.4931559,6.85,2.662042,.7248203,0,0,.3052965,.6883744,.164557,.2898068,.056962,.2848101,0,0,.4144426,.0463747,0,.0640298
"ABQBUF",0,0,0,0,0,0,1.588,1.618249,.4931559,5.5,2.786762,.9278166,0,0,.4593712,.429461,.2855247,.3306452,.0725806,.4461004,0,.0368071,0,0,0,0
"ABQBUR",0,0,0,1,0,1,.672,2.396547,.1831448,7.1,3.006306,3.046911,0,0,.387774,.2278481,.3840691,.3271071,.056962,.6018833,1.651372,1.651372,.772389,.0138535,.0322969,.0138535
"ABQBWI",1,1,1,1,1,1,1.67,1.665539,.2974226,7.95,3.521475,1.907351,0,0,.4622514,.5090981,.3252712,.3546564,.1016049,.516953,.0385983,0,.0385983,.0128192,.0030127,0
"ABQCMH",1,1,0,1,0,0,1.343,1.34644,.4931559,6.45,2.969718,1.101367,0,0,.498381,.49529,.292464,.3152046,.056962,.4592287,.0502906,.006943,.0502906,.1162035,.0029962,.0029962
"ABQCOS",0,0,1,0,0,0,.28,1.608516,.3744382,7.05,2.906571,.6408293,0,0,.6408228,.4361814,.4978903,.2165612,.056962,.2848101,3.139003,3.139003,.5056748,2.135938,.5056748,2.135938
"ABQCVG",0,1,0,0,0,0,1.24,1.23864,.4931559,6.1,2.955806,1.224394,0,0,.3042843,.7150276,.2478903,.2095099,.056962,.2848101,.1107471,0,.1120975,.2685629,.0113863,.0113863
"ABQDAL",0,0,0,0,0,1,.58,1.345609,.1141117,6.65,3.113856,1.989152,0,1,.3086799,.2564195,.164557,.2867993,.056962,.6990958,0,0,.7225417,.653887,0,.7199669
"ABQDAY",1,0,0,0,0,0,1.272,1.276657,.4931559,5.6,2.856449,.7909628,0,0,.4801085,.4510624,.2716998,.2296564,.1160714,.2848101,.0649603,.0223589,.0649603,.1869043,.003094,.003094
"ABQDCA",1,1,0,1,0,0,1.65,1.645361,.2343659,7.95,3.521475,1.907351,0,0,.473852,.4869722,.2886446,.2859651,.0825095,.2848101,.0454838,0,.0454838,.0217771,0,.0078221
"ABQDEN",0,0,1,0,1,0,.349,1.610876,.4461665,7.75,3.376478,1.365649,0,0,.5439918,.502496,.499064,.2779462,.1379479,.2848101,2.459756,2.459756,.0002834,1.661562,.0002834,1.661562
"ABQDFW",1,1,0,0,0,0,.569,1.35033,.1141117,6.65,3.113856,1.989152,0,1,.6384343,.5526888,.3078691,.2983552,.0923567,.2848101,0,0,.7389281,.6996766,0,.766633
"ABQDSM",0,0,1,0,0,0,.833,1.15971,.4931559,6.45,2.973899,.6433226,0,0,.65868,.2516576,.5097951,.3196203,.056962,.2848101,.430564,.430564,.1242478,.4547824,.0570845,.0570845
"ABQELP",0,0,0,0,1,1,.223,1.829783,.4617842,8.1,2.381468,.7130986,0,0,.5735151,.3278481,.164557,.3197663,.0800389,.5540409,4.007238,4.007238,3.094817,2.021903,3.094817,2.021903
"ABQFLL",1,1,0,1,0,1,1.687,1.914791,.2116254,6.9,3.000172,1.945337,0,0,.4588053,.6313569,.1908728,.3468243,.1140351,.4427049,0,0,.2148083,.011066,0,.0151924
"ABQGEG",0,0,1,1,0,1,1.035,2.360049,.4931559,5.6,2.709092,.5592799,0,0,.2658228,.3624635,.4049416,.2523125,.1923077,.4867332,.9723543,.9723543,.1432569,.2477773,.1432569,.2477773
"ABQHOU",0,0,0,0,0,1,.759,1.48947,.2364666,7.95,3.173414,1.893015,0,0,.4201438,.4192061,.164557,.1582278,.1481481,.5811064,.073116,.073116,.6226593,.0093178,0,0
"ABQIAD",1,1,1,0,0,0,1.628,1.622872,.2343659,7.95,3.521475,1.907351,0,0,.4591561,.5145147,.444557,.2182278,.1,.2848101,.0453866,0,.0453866,.0220947,.0071912,.0071912
"ABQIND",1,0,1,1,0,1,1.161,1.170344,.4410904,6.4,3.023127,1.072456,0,0,.5049533,.4289351,.3547744,.3685333,.056962,.4641579,.1126374,.1440556,.1126374,.2757761,.0046575,.0046575
"ABQISP",0,0,0,0,0,1,1.861,1.861882,.3702461,6,3.431379,3.698421,0,0,.3347883,.3657791,.164557,.2271934,.056962,.733086,.0129385,0,.0129385,0,0,0
"ABQJAN",0,1,0,0,0,1,.97,1.265005,.4931559,7.1,2.721775,.609093,0,0,.2952346,.6788285,.1939687,.2166791,.056962,.431869,.0042905,.0042905,.3544481,.1262204,.0042905,.15102
"ABQJAX",1,1,0,1,0,0,1.48,1.620656,.4931559,5.7,2.870579,.9216629,0,0,.4267423,.6416412,.1760512,.2674232,.1091954,.4399825,.0023173,.0023173,.2112316,.0520409,0,.0618115
"ABQJFK",1,0,0,0,0,0,1.825,1.825563,.1101473,6,3.431379,3.698421,0,0,.6579797,.5023579,.2625962,.2448498,.127451,.2848101,.0150949,0,.0150949,0,.0002916,.0002916
"ABQLAX",0,0,1,1,0,1,.677,2.414581,.1831448,7.1,3.006306,3.046911,0,0,.5796159,.5243998,.4335225,.3513313,.1017896,.4537756,1.656197,1.656197,.7862725,.0292053,0,.0292053
"ABQLGA",1,1,1,1,1,0,1.821,1.821482,.1101473,6,3.431379,3.698421,0,0,.540413,.4860448,.3366881,.2909317,.0979456,.2848101,.0134773,0,.0134773,0,0,0
"ABQLIT",1,1,0,0,0,1,.817,1.099899,.4931559,7.3,2.804918,.6755093,0,0,.6370349,.5384542,.1721327,.2211354,.056962,.5120829,.065401,.065401,.3675926,.366895,.0660118,.2976307
"ABQMCI",1,0,1,0,0,1,.718,1.088512,.4931559,6.25,3.010168,1.174154,0,0,.5586156,.5026228,.3447371,.2948455,.0929981,.5055308,.431294,.431294,.2254586,.9062204,0,0
"ABQMCO",1,1,1,1,0,1,1.552,1.741491,.472719,6.5,2.756505,1.123643,0,0,.5072021,.5726757,.3128328,.347883,.0896552,.4399825,0,0,.2188361,.0265781,0,.0333433
"ABQMDT",0,0,0,0,0,0,1.667,1.666172,.4395371,6.4,2.932404,.6145786,0,0,.3908228,.3372231,.289557,.40625,.056962,.2848101,.0241351,0,.0241351,0,.0016816,.0016816
"ABQMDW",0,0,0,0,1,1,1.121,1.202193,.1550676,5.5,3.156779,2.608727,0,0,.3015371,.2278481,.164557,.1725136,.15,.6276673,.0083333,.2167167,.0083333,.1840442,0,0
"ABQMEM",0,0,0,0,0,0,.942,1.082223,.4931559,7.3,2.888425,.9485716,0,0,.3974018,.5041639,.2106096,.4446203,.131579,.2848101,.0592455,.0592455,.29357,.2856246,.0592455,.1768479
"ABQMIA",1,0,0,1,0,0,1.689,1.925802,.2116254,6.9,3.000172,1.945337,0,0,.5844069,.5464322,.2751764,.2909712,.0884956,.2848101,0,0,.217064,.0092569,0,.0130906
"ABQMKE",1,0,0,1,0,0,1.142,1.267119,.4931559,6.5,3.089911,1.05527,0,0,.488045,.4006876,.3373965,.4523363,.154321,.2848101,.0349912,.2436327,.0349912,.1170771,0,.0081365
"ABQMSY",1,1,0,1,0,1,1.015,1.422521,.4931559,8.049999,2.80604,.9850834,0,0,.4832141,.580022,.264557,.3712713,.0826087,.4891579,0,0,.3888204,.0312275,0,.0442163
"ABQOAK",0,0,1,1,0,1,.889,2.558979,.1120481,4.55,3.785052,1.757797,0,0,.5397954,.3511358,.4864748,.3130744,.056962,.6135772,1.27141,1.27141,.466008,.002448,.0024245,.002448
"ABQOKC",0,0,0,0,0,1,.51,1.268576,.4931559,8.35,2.808262,.9049411,0,0,.6258228,.4878481,.2978903,.2715612,.056962,.5514768,.455627,.455627,.6531786,1.231911,.455627,1.017987
"ABQOMA",1,0,1,0,1,0,.725,1.219061,.4931559,6.65,3.021683,.7575068,0,0,.6446106,.326333,.4675873,.327196,.1251438,.4969313,.5873774,.5873774,.1304905,.739495,.1304905,.1974307
"ABQORD",1,1,1,0,0,0,1.118,1.208798,.1550676,5.5,3.156779,2.608727,0,0,.612228,.4631422,.4750145,.2399272,.056962,.2848101,0,.2240831,0,.1741835,.0000974,.0000974
"ABQORF",1,1,0,0,0,0,1.702,1.701121,.2289411,7.6,2.78766,1.083321,0,0,.4658228,.5478481,.204557,.3,.056962,.2848101,.0437149,.0110642,.0751498,.0187553,.0107651,.0188127
"ABQPBI",0,1,0,1,0,0,1.671,1.883067,.4213133,6.65,3.592736,.925778,0,0,.3389935,.6607749,.1767521,.3167644,.056962,.425054,0,0,.2120491,.0147871,0,.019534
"ABQPDX",0,0,1,1,0,1,1.111,2.565367,.4931559,6.1,3.016194,1.209093,0,0,.5295591,.5190569,.4997218,.261928,.1318681,.4606343,.9616398,.9616398,.2042747,.1229089,0,.1229089
"ABQPVD",1,1,0,1,0,0,1.95,1.955851,.4228904,7.65,2.923309,1.086992,0,0,.4700481,.4954537,.2983598,.3694955,.056962,.5383313,.0057438,.0033784,.0057438,0,0,0
"ABQRDU",1,1,0,1,0,1,1.565,1.575447,.4931559,7.25,3.104319,.7854176,0,0,.4723445,.5702394,.2406439,.2886626,.1413043,.5022014,.0389251,.0356586,.1248897,.0061753,0,.0339922
"ABQRIC",1,1,0,0,0,0,1.637,1.634368,.4931559,7.45,2.992972,.9067059,0,0,.4209952,.5726757,.2162811,.3965517,.056962,.2848101,.0517334,.0072447,.0722465,.0390663,.0165091,.0165091
"ABQSAN",0,0,0,1,0,1,.628,2.37605,.4931559,7.05,3.095574,1.454114,0,0,.5757402,.5088398,.3918297,.3069882,.110681,.479025,1.761623,1.761623,.9117187,.00478,.1841648,.00478
"ABQSAT",1,1,0,1,0,1,.609,1.585742,.4931559,6.05,2.751122,1.136376,0,0,.5975985,.5642967,.2767065,.4386017,.056962,.4904176,.3368258,.3368258,.8776567,.5312684,.3368258,.559181
"ABQSDF",1,1,0,0,0,1,1.177,1.174181,.4931559,6.65,2.916078,.9311855,0,0,.4482552,.5859562,.2388813,.2460657,.056962,.5145398,.1033179,.1033179,.1631978,.299889,.0243908,.0243908
"ABQSEA",0,1,1,1,1,1,1.18,2.572607,.4931559,5.5,3.289216,1.512924,0,0,.5316958,.5175306,.4185252,.3196203,.1125176,.4356038,.8842883,.8842883,.1616305,.1452728,0,.1452728
"ABQSFO",0,0,1,1,0,0,.896,2.568702,.1120481,4.55,3.785052,1.757797,0,0,.5515371,.4967557,.4922881,.2800766,.1115839,.2848101,1.262448,1.262448,.4658501,.0020808,0,.0020808
"ABQSJC",0,0,1,1,0,1,.87,2.547853,.2963765,4.55,3.785052,1.757797,0,0,.6712282,.4035238,.4618543,.2967841,.056962,.5280534,1.30019,1.30019,.4878851,.0002164,.0002001,.0002164
"ABQSLC",0,1,0,1,0,1,.493,1.999188,.4931559,7.55,2.851709,.853518,0,0,.5185701,.6344415,.4227988,.2296564,.1119071,.5045903,2.150577,2.150577,.4980187,.6936538,.4982715,.6936538
"ABQSMF",0,0,1,1,0,1,.866,2.515154,.4931559,7.75,2.939292,1.175247,0,0,.5360931,.4305508,.4956381,.3373247,.056962,.5483236,1.302534,1.302534,.4500211,.0181069,.0180469,.0181069
"ABQSNA",0,0,0,1,0,1,.65,2.390954,.3074962,7.1,3.006306,3.046911,0,0,.6265823,.3734177,.4556962,.3164557,.056962,.3417721,1.720353,1.720353,.8361114,.0231083,.0944426,.0231083
"ABQSTL",1,0,0,0,0,1,.934,.9517795,.4931559,5.6,2.975561,1.418342,0,0,.6034297,.3560532,.2799416,.2234664,.0612355,.4899383,.1962645,.1962645,.1953381,.5101614,.0203735,.0203735
"ABQSYR",1,0,0,0,0,0,1.721,1.745972,.3645491,5.15,2.760963,.6936861,0,0,.4220728,.4257648,.227057,.3645833,.056962,.2848101,0,.0244979,0,0,0,0
"ABQTPA",1,1,0,1,0,1,1.497,1.72331,.1023103,6.75,2.86606,1.344468,0,0,.4705472,.5939898,.2747932,.3235822,.0905512,.4422904,0,0,.2377175,.0205123,0,.0266673
"ABQTUL",1,0,0,0,0,1,.608,1.157944,.4931559,9.2,2.967562,.8014036,0,0,.6900653,.4172421,.2630418,.2718642,.056962,.5651132,.3227753,.3227753,.4619384,.9287053,.3227753,.5458511
"ABQTUS",0,0,0,1,0,1,.321,2.057117,.4931559,6.85,2.640332,.7981859,0,0,.5701706,.4090075,.3022381,.4264355,.056962,.4152449,3.291584,3.291584,2.077482,.3641662,1.64663,.3641662
"ABQTYS",0,1,0,0,0,0,1.274,1.299138,.4931559,6.4,2.770176,.6798606,0,0,.2914638,.7022071,.2030185,.2095099,.056962,.2848101,.0493949,.0493949,.1833777,.1874071,.0493949,.0597882
"AGSATL",0,1,0,0,0,0,.143,1.084031,.6254696,4.35,2.920613,1.488396,0,0,.18,.9,.11,.15,.1066667,0,7.97043,.000084,7.97043,1.568241,.000084,6.502683
"AGSBNA",0,1,0,0,0,0,.329,.882151,.6254696,4.3,2.811,.8201818,0,0,.2037037,.8055556,.0694444,.1805556,0,.212963,2.30124,.08485,2.30124,.4249624,.08485,2.210276
"AGSBOS",0,1,0,0,0,0,.861,1.712787,.4886092,3.8,3.366915,1.49276,0,0,.2563025,.8067227,.1806723,.2352941,.0588235,0,.789304,.2630088,.789304,.0016951,0,.0060072
"AGSBWI",0,0,0,0,0,0,.497,1.394619,.2974226,5.4,3.361859,1.573224,0,0,.1964286,.78125,.1607143,.2366071,.0446429,.2321429,1.608575,.4458682,1.608575,.0070432,.0007275,.0006019
"AGSCVG",0,1,0,0,0,0,.42,.9677202,.6254696,3.55,2.796189,1.009906,0,0,.0384615,.9871795,.0833333,.0897436,0,0,1.240485,0,1.240485,.1316021,.2298928,1.167276
"AGSDAL",0,0,0,0,0,0,.863,1.074689,.1141117,4.1,2.95424,1.640695,1,1,.0428571,.5285714,0,.1285714,0,.4142857,.0232166,0,.7087306,.2005157,0,.2327119
"AGSDCA",0,1,0,0,0,0,.468,1.374441,.2343659,5.4,3.361859,1.573224,0,0,.2080292,.7591241,.1240876,.2043796,.0328467,0,1.750109,.4727449,1.750109,.0058521,0,.1262006
"AGSDEN",0,1,0,0,0,0,1.334,1.339956,.4461665,5.2,3.216861,1.126416,0,0,.278169,.7746479,.334507,.1795775,.0809859,0,.1333345,.0035992,0,.1051646,0,.0107701
"AGSDFW",0,1,0,0,0,0,.874,1.07941,.1141117,4.1,2.95424,1.640695,0,1,.3726115,.8248408,.1433121,.1401274,.0923567,0,0,0,.6913716,.194401,0,.2259311
"AGSFLL",0,1,0,0,0,0,.514,1.643872,.2116254,4.35,2.840555,1.604555,0,0,.1929825,.9035088,.0263158,.2324561,.1140351,.1578947,2.618506,.4099147,2.618506,.5053941,.0023724,1.77064
"AGSLAX",0,1,0,0,0,0,2.09,2.143661,.1831448,4.55,2.846689,2.513158,0,0,.3137931,.7965517,.2689655,.2206897,.0448276,.1689655,.0060568,0,.0484416,.0022567,0,.0022567
"AGSLGA",0,1,0,0,0,0,.678,1.550563,.1101473,3.45,3.271763,3.050537,0,0,.2745902,.7581967,.1721312,.2213115,.0655738,0,1.076025,.3322437,1.076025,.0005432,0,.0059134
"AGSMCI",0,0,0,0,0,0,.819,.817592,.5611363,3.7,2.850551,.9684675,0,0,.2927928,.7747748,.1801802,.2252252,.0585586,.2207207,.3168387,.0185263,.3168387,.1566484,0,0
"AGSMCO",0,1,0,0,0,0,.342,1.470571,.472719,3.95,2.596888,.9268047,0,0,.2413793,.8448276,.1482759,.2206897,.0896552,.1551724,3.918928,.5985998,3.918928,.7828224,.0028906,2.758244
"AGSMEM",0,1,0,0,0,0,.473,.8113036,.6254696,4.75,2.728809,.7824022,0,0,.131579,.7763158,.0460526,.375,.131579,0,1.469473,.0021567,1.469473,.3765052,.0021567,1.413612
"AGSMIA",0,1,0,0,0,0,.532,1.654882,.2116254,4.35,2.840555,1.604555,0,0,.3185841,.8185841,.1106195,.2079646,.0884956,0,2.525067,.3888896,2.525067,.4897073,.0013022,1.715606
"AGSMSY",0,1,0,0,0,0,.541,1.151602,.6254696,5.5,2.646423,.8125178,0,0,.2173913,.8521739,.1,.2130435,.0826087,.2043478,1.437697,.0488591,1.799707,.4622629,.0488591,1.081569
"AGSORD",0,1,0,0,0,0,.677,.9378783,.1550676,2.95,2.997162,2.151734,0,0,.3464052,.7352941,.3104575,.1699346,.0163399,0,0,.0105022,0,.0922286,0,0
"AGSSAT",0,1,0,0,0,0,1.009,1.314822,.6254696,3.5,2.591506,.9373074,0,0,.3317757,.8364486,.1121495,.2803738,.0093458,.2056075,.1085631,.00625,.7029677,.0003302,.00625,.0067302
"AGSSEA",0,0,0,0,0,0,2.306,2.301687,.6254696,2.95,3.129599,1.247892,0,0,.265873,.7896825,.2539683,.25,.1031746,.1507937,.0370387,.0056142,.0202343,.0361837,0,0
"AGSSFO",0,1,0,0,0,0,2.28,2.297782,.1120481,2,3.625436,1.449869,0,0,.2857143,.7689075,.3277311,.210084,.0546218,0,.0226168,0,.0067273,.0070773,0,.0070773
"AGSSTL",0,1,0,0,0,0,.598,.6808597,.6254696,3.05,2.815944,1.169879,0,0,.3376068,.6282051,.1153846,.1538462,.0042735,.2051282,.5627037,.0469777,.5627037,.1942702,.0469777,.5250809
"AGSTPA",0,1,0,0,0,0,.373,1.45239,.1023103,4.2,2.706443,1.108946,0,0,.2047244,.8661417,.1102362,.2204724,.0905512,.1574803,3.530301,.4746956,3.530301,.7414882,.0029245,2.594012
"ALBATL",0,1,0,1,0,0,.852,1.45354,.4249685,4.35,3.264013,1.910843,0,0,.3170968,.6661291,.1987097,.4311828,.1066667,.2096774,.5567984,0,.5567984,.0229085,0,.0138372
"ALBAUS",1,1,0,0,0,1,1.577,1.620045,.4249685,3.75,3.193151,1.045971,0,0,.5204301,.5716846,.1775986,.4043011,.0333333,.4541219,.0282848,.0009112,.0768763,0,.0282848,.0321814
"ALBBHM",0,1,0,0,0,0,.946,1.362691,.4249685,4.6,3.061348,.9379014,0,0,.2329872,.6702386,.095559,.4446531,.0068493,.4768007,.3792885,.0417122,.3792885,.0195174,.0252341,.0243612
"ALBBNA",0,1,0,1,0,1,.825,1.251661,.4249685,4.3,3.154399,1.052972,0,0,.3408005,.5716846,.1581541,.4395161,0,.4226404,.3693682,.0314254,.3693682,.0030827,.064206,.0595776
"ALBBWI",0,0,0,0,0,1,.288,1.764129,.2974226,5.4,3.705259,2.019747,0,0,.3335254,.547379,.249424,.5511233,.0446429,.4418203,3.653064,2.644399,3.653064,.0481305,.0481305,.0007111
"ALBCHS",0,0,0,1,0,0,.759,1.690163,.4249685,4.3,2.891228,.6786593,0,0,.1451613,.7096775,.0887097,.6532258,.016129,.2096774,.9506373,.4622968,.9506373,.0039335,.0027776,.0019185
"ALBCMH",0,0,0,1,0,1,.508,1.445029,.4249685,3.9,3.153501,1.166268,0,0,.3696549,.5335709,.2166167,.5528882,.0465116,.384096,1.000322,.4500213,1.000322,.0036392,.2050136,.2268686
"ALBCVG",0,1,0,0,0,0,.623,1.33723,.4249685,3.55,3.139589,1.296545,0,0,.1755583,.7533085,.172043,.3145161,0,.2096774,.5804563,0,.5804563,0,.1515189,.1503144
"ALBDAB",0,1,0,0,0,0,1.019,1.811013,.4249685,4.9,2.795034,.6119929,0,0,.1370968,.766129,.0887097,.3145161,0,.2096774,.6518286,.1951388,.6518286,.0010447,.0010447,.0027944
"ALBDAL",0,0,0,0,0,0,1.427,1.444199,.1141117,4.1,3.297639,2.106369,1,1,.1799539,.2947005,.0887097,.3145161,0,.6239631,.0111334,0,.0639489,0,.0110578,.046761
"ALBDCA",0,0,0,1,0,0,.318,1.743951,.2343659,5.4,3.705259,2.019747,0,0,.345126,.5252532,.2127973,.5079468,.0328467,.2096774,3.184502,2.242195,3.184502,.0402034,0,0
"ALBDEN",1,1,1,1,0,0,1.609,1.709466,.4249685,5.2,3.560261,1.446123,0,0,.4152658,.540777,.4232167,.4553612,.0809859,.2096774,0,.048166,0,0,0,0
"ALBDFW",1,1,0,1,0,0,1.435,1.448919,.1141117,4.1,3.297639,2.106369,0,1,.5097082,.5909698,.2320218,.4068728,.0923567,.2096774,0,0,.0605431,0,0,.046693
"ALBFLL",0,1,0,1,0,1,1.204,2.013381,.2116254,4.35,3.183955,2.059972,0,0,.3300792,.6696378,.1150255,.5469723,.1140351,.3675721,.5810074,.1903234,.5810074,.0014939,.0012625,.0091483
"ALBGSO",0,0,0,0,0,0,.564,1.607515,.4249685,3.05,2.99872,.7353225,0,0,.1861164,.6680899,.1181214,.6576534,.1372549,.2096774,1.321758,.6852741,1.321758,.0234057,.003057,.0039738
"ALBGSP",0,1,0,1,0,0,.706,1.514687,.4136535,2.75,2.925735,.6863505,0,0,.2245968,.703629,.0887097,.5520161,0,.2096774,.8381649,.3285311,.8381649,.0203266,.0093031,.0097753
"ALBHOU",0,0,0,0,0,1,1.495,1.58806,.2364666,5.4,3.357197,2.004566,0,0,.2914178,.4574871,.0887097,.3145161,.1481481,.5059737,.1142397,.008094,.1142397,.0009205,0,0
"ALBIND",0,0,0,1,0,1,.682,1.268934,.4249685,3.85,3.206911,1.135654,0,0,.3762272,.467216,.2789271,.5264726,.0380435,.3890252,.3158289,.05458,.3158289,.0000152,.1626712,.17564
"ALBJAX",0,1,0,1,0,1,.951,1.719246,.4249685,3.15,3.054362,.9759746,0,0,.2980163,.6799222,.1002039,.5271598,.1091954,.3648498,.6673152,.1797486,.6673152,.0037581,.0005332,.000917
"ALBJFK",1,0,0,0,0,0,.145,1.924153,.1101473,3.45,3.615163,3.916362,0,0,.5292537,.5406389,.1867489,.3145161,.127451,.2096774,9.056356,7.334198,9.056356,.1298828,.012589,2.253299
"ALBLAX",1,1,1,1,0,1,2.467,2.513171,.1831448,4.55,3.190089,3.22646,0,0,.4508899,.5626808,.3576752,.4662403,.0448276,.3786429,0,.0196177,0,0,0,0
"ALBMCI",0,1,0,1,0,1,1.115,1.187102,.4249685,3.7,3.193951,1.243345,0,0,.4298896,.5409038,.2688898,.4541558,.0585586,.4303981,.0063781,.0392909,.0063781,0,0,0
